[<_MainThread(MainThread, started 37472)>]
stream closed? idk girl
Listening (audio thread)...
         340212 function calls (315214 primitive calls) in 22.181 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
17069/370   21.263    0.001    1.451    0.004 {built-in method time.sleep}
        1    0.223    0.223    0.223    0.223 sounddevice.py:2875(_initialize)
       85    0.096    0.001    0.099    0.001 carboncopy.py:196(detect_and_send_pitch)
        1    0.080    0.080    0.080    0.080 sounddevice.py:1126(stop)
     1517    0.068    0.000    0.068    0.000 {built-in method nt.stat}
       85    0.054    0.001    0.153    0.002 carboncopy.py:259(audio_callback)
    27/11    0.044    0.002    0.157    0.014 {built-in method _imp.create_dynamic}
      325    0.028    0.000    0.028    0.000 {built-in method marshal.loads}
        2    0.028    0.014    0.028    0.014 {built-in method _wmi.exec_query}
        1    0.024    0.024    0.025    0.025 sounddevice.py:730(__init__)
      422    0.019    0.000    0.019    0.000 {built-in method _io.open_code}
      422    0.017    0.000    0.017    0.000 {method 'read' of '_io.BufferedReader' objects}
     3291    0.015    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
1031/1023    0.010    0.000    0.038    0.000 {built-in method builtins.__build_class__}
      423    0.006    0.000    0.006    0.000 {method '__exit__' of '_io._IOBase' objects}
      325    0.006    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
    379/0    0.005    0.000    0.000          {built-in method builtins.exec}
   468/93    0.004    0.000    0.011    0.000 _parser.py:512(_parse)
      668    0.004    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
    32344    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
    27/22    0.004    0.000    0.016    0.001 {built-in method _imp.exec_dynamic}
       41    0.003    0.000    0.003    0.000 {built-in method nt.listdir}
        1    0.003    0.003    0.003    0.003 sounddevice.py:1155(close)
    14919    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
    15490    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
    17911    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
      816    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap>:304(acquire)
      325    0.003    0.000    0.101    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
     4171    0.003    0.000    0.005    0.000 typing.py:1215(__setattr__)
22994/22260    0.003    0.000    0.003    0.000 {built-in method builtins.len}
     1256    0.002    0.000    0.006    0.000 typing.py:175(_type_check)
       85    0.002    0.000    0.007    0.000 _methods.py:101(_mean)
1871/1824    0.002    0.000    0.003    0.000 {built-in method __new__ of type object at 0x00007FF8721838F0}
    381/7    0.002    0.000    0.642    0.092 <frozen importlib._bootstrap>:1349(_find_and_load)
      377    0.002    0.000    0.093    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
   694/89    0.002    0.000    0.006    0.000 _compiler.py:37(_compile)
      162    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
       85    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    11056    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      645    0.002    0.000    0.012    0.000 typing.py:1269(__init__)
      120    0.002    0.000    0.002    0.000 {built-in method nt._path_isfile}
      503    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
      816    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
    10535    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
      650    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
      197    0.002    0.000    0.003    0.000 _compiler.py:243(_optimize_charset)
     4737    0.002    0.000    0.003    0.000 typing.py:1161(_is_dunder)
       29    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
      816    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
       17    0.001    0.000    0.003    0.000 enum.py:1702(convert_class)
   865/16    0.001    0.000    0.636    0.040 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
1790/1626    0.001    0.000    0.027    0.000 typing.py:392(inner)
      816    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     4365    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
    381/7    0.001    0.000    0.642    0.092 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
       42    0.001    0.000    0.864    0.021 __init__.py:1(<module>)
       29    0.001    0.000    0.003    0.000 __init__.py:355(namedtuple)
      372    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      422    0.001    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
       85    0.001    0.000    0.001    0.000 _methods.py:67(_count_reduce_items)
     4244    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
       85    0.001    0.000    0.001    0.000 {built-in method numpy.frombuffer}
    372/8    0.001    0.000    0.638    0.080 <frozen importlib._bootstrap>:911(_load_unlocked)
       85    0.001    0.000    0.002    0.000 sounddevice.py:2748(_array)
     3978    0.001    0.000    0.001    0.000 _parser.py:168(__getitem__)
     4389    0.001    0.000    0.002    0.000 _parser.py:261(get)
      358    0.001    0.000    0.088    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
     5470    0.001    0.000    0.001    0.000 _parser.py:240(__next)
      253    0.001    0.000    0.011    0.000 typing.py:694(Union)
      509    0.001    0.000    0.003    0.000 typing_extensions.py:3029(_collect_parameters)
      650    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.001    0.001    0.001    0.001 {method 'dlopen' of '_cffi_backend.FFI' objects}
      352    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
  800/198    0.001    0.000    0.001    0.000 _parser.py:178(getwidth)
    325/8    0.001    0.000    0.607    0.076 <frozen importlib._bootstrap_external>:993(exec_module)
        1    0.001    0.001    0.001    0.001 socket.py:221(__init__)
      377    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      816    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
     3544    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      929    0.001    0.000    0.002    0.000 {built-in method builtins.max}
     2960    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     3613    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
   232/89    0.001    0.000    0.012    0.000 _parser.py:452(_parse_sub)
      317    0.001    0.000    0.005    0.000 overrides.py:142(decorator)
      586    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
      220    0.001    0.000    0.023    0.000 __init__.py:280(_compile)
      816    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      509    0.001    0.000    0.001    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
     3120    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       45    0.001    0.000    0.001    0.000 enum.py:251(__init__)
     1517    0.001    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       41    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1648(_fill_cache)
      393    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
      649    0.001    0.000    0.004    0.000 typing.py:1174(__init__)
      816    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      253    0.001    0.000    0.002    0.000 typing.py:345(_remove_dups_flatten)
  475/161    0.001    0.000    0.219    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       85    0.001    0.000    0.001    0.000 sounddevice.py:2743(_buffer)
      278    0.001    0.000    0.002    0.000 overrides.py:83(verify_matching_signatures)
      325    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:670(_classify_pyc)
       85    0.001    0.000    0.008    0.000 fromnumeric.py:3385(mean)
  372/231    0.001    0.000    0.164    0.001 <frozen importlib._bootstrap>:806(module_from_spec)
 1287/930    0.001    0.000    0.001    0.000 typing.py:1285(__hash__)
      935    0.001    0.000    0.001    0.000 ast.py:269(iter_child_nodes)
      352    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
       60    0.001    0.000    0.001    0.000 inspect.py:882(cleandoc)
     2628    0.001    0.000    0.001    0.000 typing.py:1279(__eq__)
     1950    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     1434    0.000    0.000    0.002    0.000 typing.py:166(_type_convert)
